IDCode,n_items,n_rg,n_rg_incorrect,n_rg_correct,median_rt,mean_rt,rg_rate,flag_rg_participant
fagi164,57,0,0,0,13.99425,18.10322807017544,0.0,False
faly535,57,0,0,0,17.5,21.584280701754388,0.0,False
fari709,57,0,0,0,10.1,14.836212121212121,0.0,False
fefu774,57,6,0,6,8.1844,13.75059649122807,0.10526315789473684,True
feji918,57,0,0,0,12.366333333333332,22.46157894736842,0.0,False
feke878,57,10,7,3,12.73,24.18235087719298,0.17543859649122806,True
feqy379,57,0,0,0,12.407,16.29177192982456,0.0,False
feso129,57,3,1,2,9.9,12.705070175438596,0.05263157894736842,False
fifa517,57,22,3,19,4.976,10.38743859649123,0.38596491228070173,True
fike806,57,12,5,7,8.2745,11.007035087719297,0.21052631578947367,True
fili803,57,0,0,0,10.967333333333334,14.287561403508771,0.0,False
fise899,57,0,0,0,16.58533333333333,23.876219298245616,0.0,False
fite050,57,0,0,0,7.9,12.745947368421053,0.0,False
fode209,57,0,0,0,17.3066,31.433421052631576,0.0,False
fofa613,57,9,9,0,11.516333333333334,11.402649122807018,0.15789473684210525,True
foji729,57,0,0,0,8.0,13.371912280701753,0.0,False
fore104,57,1,1,0,13.9,18.59235087719298,0.017543859649122806,False
fovo989,57,3,2,1,6.7,12.722981818181818,0.05263157894736842,False
fuxa711,57,5,4,1,12.595333333333334,17.19483333333333,0.08771929824561403,False
fypi681,57,3,3,0,7.8,16.149796296296294,0.05263157894736842,False
gaga585,57,3,3,0,9.485,14.088543859649123,0.05263157894736842,False
gaho243,57,0,0,0,12.118,21.36421052631579,0.0,False
gahu141,57,0,0,0,6.946,13.046122807017545,0.0,False
gaqe214,57,25,2,23,4.9065,8.775842105263159,0.43859649122807015,True
garu074,57,18,1,17,5.8,10.806649122807018,0.3157894736842105,True
gata076,57,4,4,0,14.827,22.70443859649123,0.07017543859649122,False
geka905,57,0,0,0,12.8,22.305824561403508,0.0,False
gelo627,57,0,0,0,10.116,14.30877192982456,0.0,False
gelu604,57,17,0,17,6.267,11.185421052631579,0.2982456140350877,True
gery678,57,7,3,4,11.5,12.928366666666667,0.12280701754385964,True
gevi782,57,0,0,0,16.249666666666666,22.096087719298247,0.0,False
giki066,57,32,0,32,4.0025,8.955473684210526,0.5614035087719298,True
givi158,57,4,4,0,9.974,21.591140350877193,0.07017543859649122,False
gola051,57,0,0,0,10.9844,13.354245614035088,0.0,False
gono087,57,0,0,0,14.51,25.889666666666667,0.0,False
gony054,57,10,3,7,12.118666666666666,17.739719298245614,0.17543859649122806,True
gopa505,57,0,0,0,22.34166666666667,32.10701754385965,0.0,False
gosa272,57,5,5,0,10.29,14.756333333333334,0.08771929824561403,False
gowa049,57,0,0,0,8.4,18.73317543859649,0.0,False
guge611,57,1,1,0,13.546333333333331,19.75942105263158,0.017543859649122806,False
guva627,57,0,0,0,14.956666666666663,17.12580701754386,0.0,False
guxe800,57,4,3,1,12.708666666666666,21.294333333333334,0.07017543859649122,False
guzo911,57,0,0,0,15.97375,25.100021276595744,0.0,False
gycy436,57,0,0,0,9.84075,15.372877192982456,0.0,False
gyge774,57,3,3,0,10.0825,14.126087719298246,0.05263157894736842,False
gyjy255,57,0,0,0,11.0,14.561641509433963,0.0,False
gylu244,57,3,3,0,12.78075,16.965929824561403,0.05263157894736842,False
gyly160,57,15,5,10,7.512,13.48156140350877,0.2631578947368421,True
habe142,57,0,0,0,13.2,19.814385964912283,0.0,False
hadi890,57,0,0,0,12.904,17.186087719298246,0.0,False
hamu369,57,0,0,0,10.495666666666668,23.007859649122803,0.0,False
hasa034,57,0,0,0,17.9576,29.271456140350878,0.0,False
hata313,57,7,7,0,10.6575,17.30380701754386,0.12280701754385964,True
hazu473,57,0,0,0,11.3,19.477543859649124,0.0,False
heda014,57,0,0,0,8.6,16.484315789473683,0.0,False
hefy659,57,15,4,11,7.2370833333333335,10.790370370370372,0.2631578947368421,True
heqi003,57,25,25,0,5.4322,13.22371153846154,0.43859649122807015,True
hime464,57,0,0,0,10.989,15.283315789473685,0.0,False
hiwu589,57,0,0,0,8.5,21.84252830188679,0.0,False
hiwu738,57,3,0,3,8.1418,14.470684210526315,0.05263157894736842,False
hoge626,57,0,0,0,7.55525,13.256719298245615,0.0,False
hoki309,57,1,1,0,10.22125,18.288298245614033,0.017543859649122806,False
homa046,57,0,0,0,21.857,33.06017857142857,0.0,False
hopi338,57,0,0,0,16.6215,37.07890740740741,0.0,False
howe436,57,0,0,0,16.6085,22.336877192982456,0.0,False
hoxo855,57,0,0,0,14.20575,24.593298245614037,0.0,False
huby293,57,0,0,0,10.35875,22.893140350877196,0.0,False
hufy497,57,31,3,28,5.1,10.335570175438596,0.543859649122807,True
huho039,57,0,0,0,9.9,24.455824561403507,0.0,False
huve181,57,0,0,0,11.0,18.8629298245614,0.0,False
huxe147,57,0,0,0,14.488333333333332,19.5750350877193,0.0,False
huze427,57,19,16,3,9.48925,12.039859649122805,0.3333333333333333,True
hyfe498,57,4,3,1,7.162333333333333,10.076792592592593,0.07017543859649122,False
hyge979,57,17,1,16,7.7255,17.839473684210528,0.2982456140350877,True
hyku415,57,0,0,0,14.7,29.428684210526313,0.0,False
hywy001,57,0,0,0,10.0,14.03059649122807,0.0,False
jago498,57,7,0,7,7.0125,16.40105263157895,0.12280701754385964,True
jaqy340,57,0,0,0,10.6,14.651499999999999,0.0,False
jaxe723,57,0,0,0,11.219,14.84777192982456,0.0,False
jefi901,57,13,0,13,6.9,11.867842105263158,0.22807017543859648,True
jemy201,57,1,1,0,10.3,14.225438596491228,0.017543859649122806,False
jemy300,57,4,0,4,8.4,13.140052631578948,0.07017543859649122,False
jeqy595,57,0,0,0,14.268666666666666,18.086245614035086,0.0,False
jese656,57,0,0,0,9.234666666666666,18.831771929824562,0.0,False
jewe923,57,0,0,0,13.665333333333336,15.67733962264151,0.0,False
jexu775,57,0,0,0,8.9,18.12591228070175,0.0,False
jicu869,57,0,0,0,14.608666666666666,16.284622807017545,0.0,False
jide437,57,0,0,0,12.04675,17.292701754385963,0.0,False
jise415,57,5,1,4,7.516,11.452526315789473,0.08771929824561403,False
jizi110,57,0,0,0,7.92675,18.843561403508772,0.0,False
joce161,57,32,23,9,3.8755,4.353808510638299,0.5614035087719298,True
johy783,57,0,0,0,10.8,21.524490566037734,0.0,False
joti731,57,6,0,6,6.946,12.335298245614034,0.10526315789473684,True
joxi410,57,0,0,0,18.070666666666668,24.139152046783625,0.0,False
jufy997,57,0,0,0,8.647666666666666,19.73619298245614,0.0,False
jupo405,57,5,0,5,9.17,14.940972972972974,0.08771929824561403,False
juqo313,57,4,4,0,8.2,11.366052631578947,0.07017543859649122,False
jygo886,57,4,4,0,16.929,20.80645614035088,0.07017543859649122,False
jyly989,57,19,8,11,5.9,8.777035087719298,0.3333333333333333,True
jyma323,57,4,3,1,9.6925,13.419701754385965,0.07017543859649122,False
jyri631,57,0,0,0,12.8,21.54259649122807,0.0,False
kaho190,57,0,0,0,18.2,25.766075471698116,0.0,False
kama922,57,7,2,5,9.3,16.031070175438597,0.12280701754385964,True
kami789,57,0,0,0,10.961333333333334,18.37280701754386,0.0,False
kapy740,57,0,0,0,11.748,19.612701754385963,0.0,False
karo919,57,4,4,0,10.06325,16.2520350877193,0.07017543859649122,False
katu927,57,0,0,0,10.311666666666666,17.32215789473684,0.0,False
kaxu871,57,0,0,0,9.8515,18.69917543859649,0.0,False
kebi083,57,0,0,0,7.1025,10.978122807017545,0.0,False
kegi864,57,17,2,15,6.711,10.950614035087717,0.2982456140350877,True
kegy317,57,0,0,0,10.08125,14.351736842105263,0.0,False
keho061,57,0,0,0,11.578333333333331,16.273754385964914,0.0,False
keno764,57,4,3,1,16.001333333333335,15.677438596491228,0.07017543859649122,False
keri121,57,3,0,3,10.025666666666666,12.626877192982455,0.05263157894736842,False
kewi488,57,5,5,0,5.9,11.943,0.08771929824561403,False
kexi927,57,0,0,0,10.273875,12.826675,0.0,False
kifo712,57,14,8,6,8.1715,10.592035087719298,0.24561403508771928,True
kisa730,57,1,1,0,14.01925,32.62388461538462,0.017543859649122806,False
kise589,57,0,0,0,15.284333333333334,21.945842105263157,0.0,False
kofa904,57,7,6,1,13.391,21.657339285714283,0.12280701754385964,True
kojo378,57,3,3,0,9.1848,12.650185185185185,0.05263157894736842,False
koqa816,57,0,0,0,8.0,16.286140350877194,0.0,False
koze985,57,0,0,0,12.106333333333334,21.78247368421053,0.0,False
kufi222,57,9,4,5,9.695333333333334,11.362736842105262,0.15789473684210525,True
kuge219,57,3,0,3,12.5,19.00935087719298,0.05263157894736842,False
kula014,57,0,0,0,14.3,19.466684210526314,0.0,False
kuqy630,57,0,0,0,13.1,25.612000000000002,0.0,False
kygi723,57,8,7,1,15.5,19.687508771929828,0.14035087719298245,True
kyjo289,57,0,0,0,12.9,21.410473684210526,0.0,False
kyjo535,57,0,0,0,7.543333333333333,14.353070175438596,0.0,False
kyqu130,57,4,3,1,7.205,12.292175438596491,0.07017543859649122,False
kyse146,57,14,0,14,7.0295,15.080859649122807,0.24561403508771928,True
kyso927,57,7,1,6,5.495333333333333,10.859543859649124,0.12280701754385964,True
kywu572,57,10,0,10,9.7,13.334964912280702,0.17543859649122806,True
kyzy131,57,4,3,1,15.779666666666666,18.317087719298247,0.07017543859649122,False
lany944,57,8,0,8,7.7,10.481912280701755,0.14035087719298245,True
laze716,57,5,5,0,12.352666666666666,19.038999999999998,0.08771929824561403,False
lazi600,57,0,0,0,11.0,17.433910714285712,0.0,False
lije367,57,0,0,0,12.106333333333334,22.92622807017544,0.0,False
lilo882,57,0,0,0,14.6,19.161456140350875,0.0,False
lilu285,57,4,3,1,16.012666666666664,26.795631578947365,0.07017543859649122,False
lobo127,57,0,0,0,18.3305,22.046631578947366,0.0,False
