IDCode,n_items,n_rg,n_rg_incorrect,n_rg_correct,median_rt,mean_rt,rg_rate,flag_rg_participant
heqi003,57,25,25,0,5.4322,13.22371153846154,0.43859649122807015,True
hufy497,57,31,3,28,5.1,10.335570175438596,0.543859649122807,True
huze427,57,19,16,3,9.48925,12.039859649122805,0.3333333333333333,True
hyge979,57,17,1,16,7.7255,17.839473684210528,0.2982456140350877,True
jago498,57,7,0,7,7.0125,16.40105263157895,0.12280701754385964,True
jefi901,57,13,0,13,6.9,11.867842105263158,0.22807017543859648,True
joce161,57,32,23,9,3.8755,4.353808510638299,0.5614035087719298,True
joti731,57,6,0,6,6.946,12.335298245614034,0.10526315789473684,True
jyly989,57,19,8,11,5.9,8.777035087719298,0.3333333333333333,True
kama922,57,7,2,5,9.3,16.031070175438597,0.12280701754385964,True
kegi864,57,17,2,15,6.711,10.950614035087717,0.2982456140350877,True
kifo712,57,14,8,6,8.1715,10.592035087719298,0.24561403508771928,True
kofa904,57,7,6,1,13.391,21.657339285714283,0.12280701754385964,True
kufi222,57,9,4,5,9.695333333333334,11.362736842105262,0.15789473684210525,True
kygi723,57,8,7,1,15.5,19.687508771929828,0.14035087719298245,True
kyse146,57,14,0,14,7.0295,15.080859649122807,0.24561403508771928,True
kyso927,57,7,1,6,5.495333333333333,10.859543859649124,0.12280701754385964,True
kywu572,57,10,0,10,9.7,13.334964912280702,0.17543859649122806,True
lany944,57,8,0,8,7.7,10.481912280701755,0.14035087719298245,True
lohy238,57,17,1,16,5.246333333333333,15.92519298245614,0.2982456140350877,True
lomo204,57,6,0,6,8.5464,16.51815789473684,0.10526315789473684,True
lore323,57,7,6,1,13.6886,16.80989814814815,0.12280701754385964,True
lota555,57,11,11,0,7.8,12.901175438596491,0.19298245614035087,True
lucu601,57,15,4,11,8.750666666666666,12.719649122807017,0.2631578947368421,True
maho931,57,15,13,2,6.468,11.626736363636365,0.2631578947368421,True
maju644,57,20,13,7,6.822333333333333,9.1206,0.3508771929824561,True
mida684,57,17,1,16,5.0,12.131070175438596,0.2982456140350877,True
mika525,57,8,8,0,12.39325,15.39161403508772,0.14035087719298245,True
moku835,57,6,3,3,7.4,10.211491228070177,0.10526315789473684,True
mude815,57,17,17,0,8.9,8.816425531914893,0.2982456140350877,True
muku118,57,6,2,4,11.3,13.27501754385965,0.10526315789473684,True
muqo157,57,13,7,6,12.42525,21.70957894736842,0.22807017543859648,True
nape687,57,13,13,0,18.32033333333333,20.118263157894738,0.22807017543859648,True
nehe056,57,7,0,7,7.0,13.473315789473682,0.12280701754385964,True
nexy906,57,29,1,28,4.825,9.384280701754387,0.5087719298245614,True
ninu744,57,17,15,2,13.145666666666664,13.385535087719298,0.2982456140350877,True
nolu547,57,10,7,3,9.004333333333333,25.10801754385965,0.17543859649122806,True
nuhi137,57,8,6,2,10.87375,13.849631578947369,0.14035087719298245,True
nupy082,57,14,4,10,6.6895,13.923526315789474,0.24561403508771928,True
nycu731,57,6,3,3,7.73025,11.645624999999999,0.10526315789473684,True
paxi044,57,23,23,0,11.2,13.80953216374269,0.40350877192982454,True
pimi228,57,14,4,10,6.2118,16.705807017543858,0.24561403508771928,True
pody147,57,14,2,12,10.1754,14.168947368421053,0.24561403508771928,True
pubu440,57,27,21,6,6.320875,8.413055555555555,0.47368421052631576,True
pufe463,57,25,1,24,4.925333333333333,10.580228070175439,0.43859649122807015,True
pytu496,57,9,0,9,8.76325,14.42877192982456,0.15789473684210525,True
pyzi618,57,32,0,32,3.36325,13.45936842105263,0.5614035087719298,True
qami382,57,8,1,7,15.509,18.87822807017544,0.14035087719298245,True
