IDCode,count,feature,sex,group,is_rapid_guess
rapo919,57,IDCode,,,
rapo615,57,IDCode,,,
raje697,57,IDCode,,,
raja244,57,IDCode,,,
qyxy586,57,IDCode,,,
qyjo579,57,IDCode,,,
quzy338,57,IDCode,,,
qutu379,57,IDCode,,,
quhe482,57,IDCode,,,
ryzo168,57,IDCode,,,
ryko512,57,IDCode,,,
ryhy064,57,IDCode,,,
ryfy568,57,IDCode,,,
ruhu758,57,IDCode,,,
ruco451,57,IDCode,,,
rozu771,57,IDCode,,,
ropi792,57,IDCode,,,
roho333,57,IDCode,,,
risy585,57,IDCode,,,
rino885,57,IDCode,,,
rihi168,57,IDCode,,,
riby296,57,IDCode,,,
reve265,57,IDCode,,,
reqy562,57,IDCode,,,
remi231,57,IDCode,,,
sira606,57,IDCode,,,
sipy389,57,IDCode,,,
sina926,57,IDCode,,,
sila763,57,IDCode,,,
seto741,57,IDCode,,,
sesi698,57,IDCode,,,
sejy814,57,IDCode,,,
sefy975,57,IDCode,,,
sedo490,57,IDCode,,,
sedi312,57,IDCode,,,
sazy810,57,IDCode,,,
saze236,57,IDCode,,,
sati762,57,IDCode,,,
sapu497,57,IDCode,,,
safu128,57,IDCode,,,
saca329,57,IDCode,,,
tebe135,57,IDCode,,,
taxa827,57,IDCode,,,
tatu362,57,IDCode,,,
tapi010,57,IDCode,,,
syzu625,57,IDCode,,,
syvi476,57,IDCode,,,
syti148,57,IDCode,,,
syco853,57,IDCode,,,
suzo040,57,IDCode,,,
sulo956,57,IDCode,,,
sugu976,57,IDCode,,,
soru820,57,IDCode,,,
sony276,57,IDCode,,,
sivi804,57,IDCode,,,
siry766,57,IDCode,,,
sire515,57,IDCode,,,
turi097,57,IDCode,,,
tujy672,57,IDCode,,,
tuga736,57,IDCode,,,
tufa140,57,IDCode,,,
tuby409,57,IDCode,,,
tubo945,57,IDCode,,,
tosa657,57,IDCode,,,
tomo782,57,IDCode,,,
togu404,57,IDCode,,,
tivy194,57,IDCode,,,
tiro932,57,IDCode,,,
tiqy778,57,IDCode,,,
tezy480,57,IDCode,,,
texu966,57,IDCode,,,
tepu554,57,IDCode,,,
tebo981,57,IDCode,,,
viba035,57,IDCode,,,
vexo008,57,IDCode,,,
vepi727,57,IDCode,,,
vate767,57,IDCode,,,
vani542,57,IDCode,,,
vane668,57,IDCode,,,
vamu972,57,IDCode,,,
vabe169,57,IDCode,,,
tyzo440,57,IDCode,,,
tywo507,57,IDCode,,,
tyly265,57,IDCode,,,
tyhy481,57,IDCode,,,
tuza510,57,IDCode,,,
tuvu087,57,IDCode,,,
tuve726,57,IDCode,,,
tusi463,57,IDCode,,,
vuzo690,57,IDCode,,,
vuvy608,57,IDCode,,,
vury347,57,IDCode,,,
vuho146,57,IDCode,,,
vuhe805,57,IDCode,,,
vuga321,57,IDCode,,,
vudi262,57,IDCode,,,
vuci475,57,IDCode,,,
voza333,57,IDCode,,,
voxy002,57,IDCode,,,
vopa930,57,IDCode,,,
vizo712,57,IDCode,,,
viry492,57,IDCode,,,
vili771,57,IDCode,,,
vihu826,57,IDCode,,,
vice024,57,IDCode,,,
woqa919,57,IDCode,,,
woju333,57,IDCode,,,
woci389,57,IDCode,,,
wizy437,57,IDCode,,,
wify666,57,IDCode,,,
weru214,57,IDCode,,,
wero373,57,IDCode,,,
weda047,57,IDCode,,,
wari483,57,IDCode,,,
ware232,57,IDCode,,,
waho571,57,IDCode,,,
vyzo298,57,IDCode,,,
vyxy108,57,IDCode,,,
vyxi492,57,IDCode,,,
vyva107,57,IDCode,,,
vyda893,57,IDCode,,,
xaja332,57,IDCode,,,
xafy802,57,IDCode,,,
xafu780,57,IDCode,,,
wyxo615,57,IDCode,,,
wyva352,57,IDCode,,,
wype120,57,IDCode,,,
