,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
group_Division3,-0.0370152591084611,-0.0010031340760979948,-0.019627196635472584,-0.18937072116965672,-0.3235663496621904,-0.25384066541677197,0.0009285583633628196,-0.2989793420951601,0.06967496333748281,-0.18111349322648582,-0.33240937349806166,-0.0739270985653592,-0.2784833813069536,-0.39837193603803134,-0.4288430984406384,0.1066534609736085,-0.1924456269828379,-0.116148632746179,-0.08874985189120341,0.013457816926934959,0.0,0.0017973486305073452,3.703452758942628e-05,-7.033471120376765e-05,0.11964453525675588,0.21402944876472144
group_LogicalReasoning,0.10205481138548307,-0.08015771532819073,-0.05654036434208281,-0.06310577762052834,0.20120737482240655,0.4927475041799623,0.016330855596624675,0.19269770883923984,0.690194625713989,-0.2152370135647803,7.0664918854482e-15,-1.599563592934811e-14,3.54054068337958e-15,-0.09697783551157095,-0.15500553605466488,0.06541009820935927,0.04913593761964494,0.025841583830485956,-0.010596913086906532,0.005424321396637809,0.0,-0.0006595803374531834,0.022412295022876557,-1.9306399628405594e-05,-0.09111949593043345,0.28785750658596915
group_MapDistance,0.170873698609077,-0.05454393153166572,-0.0017267389054680452,-0.04268991935864002,-0.11399138459978031,-0.1353931799708476,0.010376041814140882,-0.11277242367128283,0.0023915259318453234,-0.07893717347386701,0.2699588048863274,0.22136038399668376,-0.13267921162843038,0.7214850082955551,-0.36541487123625693,-0.019726380428239314,-0.10247267494622832,-0.08187903181222324,-0.12964441979861235,0.002307062296770628,0.0,-0.001239679476739868,0.025054072869316504,-1.944577199240311e-06,-0.1353219740308683,0.26213636275809316
group_MissingNumber_Division,-0.023773682166199392,0.007782762755382496,-0.0024110250599055547,-0.11985054584567878,-0.16930330294521384,-0.1059315540008652,0.0008970958511753144,-0.09637938383014868,0.04349166289261222,-0.02382126416252288,-3.3046067874482417e-15,-7.983637978139283e-16,1.0221446889258472e-14,0.014827816187238623,0.06959446697204243,-0.08593122253623851,0.9127797112753929,-0.20835851983305567,-0.06435283448495038,0.010828582235715365,0.0,0.0014099808119468298,0.0006159789047981773,-5.6356852004447036e-05,0.09262287792181974,0.17749080883277463
group_MissingNumber_Subtraction,-0.038255014765020086,0.014697913450485977,0.003822009131445129,-0.09968124016482616,-0.008269039904451804,0.05953776641560786,-0.0010822453767689415,-0.03957225785603411,-0.006881653551829467,0.40459398591811246,-0.02879115656218984,0.8328332792535088,0.12712180532167242,-0.21784454892698074,0.028371712917647725,0.02555997512797922,-0.04797251895526908,1.03899860882766e-05,0.03343715974437532,0.01216972343909694,0.0,0.0014465224974719543,0.0029269092707576295,-6.243453859968618e-05,0.09019175729482223,0.2195865796217873
group_Multiplication2,-0.05735823176381323,0.026976480742510734,0.00966743604925735,-0.17733236615784398,-0.2286976645987386,-0.18962025605553598,-0.05340571386998196,0.8646242578615334,-0.1626689704259413,-0.12624379336265903,-4.727395517702385e-15,-1.047163986118794e-15,-1.031034549243814e-14,-0.017313859404635625,0.0057443056869947735,0.008441660554384462,-0.061418539582990525,-0.030773494135727806,8.02572393964314e-05,0.015227083074820905,0.0,0.002010307372635103,0.00041951759286179525,-7.942898388575457e-05,0.13302460994950274,0.24556614348179254
group_RainfallStatistics,0.1576592547801976,-0.07278157714673801,-0.024279568262202435,0.025073974723981315,0.22483540173399097,0.20413865456077518,0.003932386532065875,0.09810867309573901,-0.3438697857547908,0.5259709457211853,-0.3078873487023898,-0.30205769706932917,0.0575975672835888,0.018718386665094483,-0.3990762952859884,0.04576232537891766,0.12692656739197367,0.061063159960038436,-0.0014489433997804818,0.0008817303463515858,0.0,-0.0016278839829953198,0.028251846045748447,6.797310352132397e-06,-0.16791276488113843,0.2682855718318278
group_Rally,-0.13778228399680753,0.016256892231837558,-0.03356485516764149,0.8797884515927357,-0.09637225756139413,-0.07515219215636994,0.0014371472138587293,-0.004203950962824489,0.02867834975834731,-0.05257689292855016,2.241849956016404e-15,-4.374600484735857e-15,-8.023469664259272e-16,-0.0269548323558137,-0.0041722913048461985,0.01253615493573618,0.008322266924393232,0.01922706482936426,0.1373028190869207,0.021421869411761163,0.0,0.0026526546488881584,0.0034302691266026603,-0.00011059616504120501,0.16947324594137791,0.37103157951189486
group_Subtraction1,-0.0543537684014414,0.019899286822868314,0.00331203305441278,-0.1177283522478289,-0.05309318828199884,0.022141023463409307,-0.0014058484213346823,-0.07329245901947488,0.0219933565325572,0.3462948045029464,0.7677151344166033,-0.276631058568372,-0.22081605570640458,-0.2684949450100461,0.016106856432418295,0.03337168960704943,-0.0726948430078436,-0.014143482957094354,0.026223188243104625,0.013195160155643907,0.0,0.0017258112302660383,0.0006263125393512164,-6.872377702201207e-05,0.11363878207340394,0.21516261034215425
group_Subtraction2,-0.07357484224316169,0.061204153512849926,0.04796784155328271,-0.11946429371500433,0.020409343221422085,0.39149887096502806,-0.7013829923966729,-0.18241858117580326,-0.33595097720730793,-0.27906497934398655,1.1034495254158901e-15,6.021931171373826e-15,-3.402130940701381e-15,0.04606777072255092,0.11616662409195046,-0.03683858967275806,-0.04885491885857152,0.00022078552755986172,0.07030457673374658,0.015716806124714967,0.0,0.0021436887191560563,-0.0006791901379035702,-8.243256759988208e-05,0.14422232532308174,0.24345336587855324
